| %    | Decomp?  | Name                                | # of insns | Asm Path 
| 1.00 | true     | func_80065B6C                       | 8          | asm/us/main/matchings/mains/main_44/func_80065B6C.s 
| 1.00 | true     | func_80068D4C                       | 8          | asm/us/main/matchings/mains/main_49/func_80068D4C.s 
| 1.00 | true     | func_80069A6C                       | 8          | asm/us/main/matchings/mains/main_50/func_80069A6C.s 
| 1.00 | true     | func_80069D74                       | 8          | asm/us/main/matchings/mains/main_51/func_80069D74.s 
| 1.00 | true     | func_8006BAA4                       | 8          | asm/us/main/matchings/mains/main_53/func_8006BAA4.s 
| 1.00 | true     | func_80074FC0                       | 8          | asm/us/main/matchings/mains/main_59/func_80074FC0.s 
| 1.00 | true     | func_8007C2B0                       | 8          | asm/us/main/matchings/mains/main_63/func_8007C2B0.s 
| 1.00 | true     | func_800814E8                       | 8          | asm/us/main/matchings/mains/main_66/func_800814E8.s 
| 1.00 | true     | func_8008284C                       | 8          | asm/us/main/matchings/mains/main_67/func_8008284C.s 
| 1.00 | true     | func_80089314                       | 8          | asm/us/main/matchings/mains/main_70/func_80089314.s 
| 1.00 | true     | func_8008AC20                       | 8          | asm/us/main/matchings/mains/main_71/func_8008AC20.s 
| 1.00 | true     | func_80091E18                       | 8          | asm/us/main/matchings/mains/main_76/func_80091E18.s 
| 1.00 | true     | func_800C7B60                       | 8          | asm/us/main/matchings/misc/misc_00/func_800C7B60.s 
| 1.00 | true     | func_800C7D84                       | 8          | asm/us/main/matchings/misc/misc_01/func_800C7D84.s 
| 1.00 | true     | func_800C90A0                       | 8          | asm/us/main/matchings/misc/misc_05/func_800C90A0.s 
| 1.00 | true     | func_800C9190                       | 8          | asm/us/main/matchings/misc/misc_05/func_800C9190.s 
| 1.00 | true     | func_800C94F0                       | 8          | asm/us/main/matchings/misc/misc_07/func_800C94F0.s 
| 1.00 | true     | func_800C9D08                       | 8          | asm/us/main/matchings/misc/misc_08/func_800C9D08.s 
| 1.00 | true     | func_800CA6F8                       | 8          | asm/us/main/matchings/misc/misc_13/func_800CA6F8.s 
| 1.00 | true     | func_800CADD8                       | 8          | asm/us/main/matchings/misc/misc_16/func_800CADD8.s 
| 1.00 | true     | func_800CB828                       | 8          | asm/us/main/matchings/misc/misc_19/func_800CB828.s 
| 1.00 | true     | func_800CC79C                       | 8          | asm/us/main/matchings/misc/misc_25/func_800CC79C.s 
| 1.00 | true     | func_800CC8E8                       | 8          | asm/us/main/matchings/misc/misc_26/func_800CC8E8.s 
| 1.00 | true     | func_800CCA14                       | 8          | asm/us/main/matchings/misc/misc_27/func_800CCA14.s 
| 1.00 | true     | func_800CDE24                       | 8          | asm/us/main/matchings/misc/misc_30/func_800CDE24.s 
| 1.00 | true     | func_800CE6AC                       | 8          | asm/us/main/matchings/misc/misc_33/func_800CE6AC.s 
| 1.00 | true     | func_800CEAC8                       | 8          | asm/us/main/matchings/misc/misc_34/func_800CEAC8.s 
| 1.00 | true     | func_800CF498                       | 8          | asm/us/main/matchings/misc/misc_36/func_800CF498.s 
| 1.00 | true     | func_800CF640                       | 8          | asm/us/main/matchings/misc/misc_38/func_800CF640.s 
| 1.00 | true     | func_800CF824                       | 8          | asm/us/main/matchings/misc/misc_39/func_800CF824.s 
| 1.00 | true     | func_800CFE3C                       | 8          | asm/us/main/matchings/misc/misc_40/func_800CFE3C.s 
| 1.00 | true     | func_800D0528                       | 8          | asm/us/main/matchings/misc/misc_43/func_800D0528.s 
| 1.00 | true     | func_800D09E4                       | 8          | asm/us/main/matchings/misc/misc_44/func_800D09E4.s 
| 1.00 | true     | func_800D1228                       | 8          | asm/us/main/matchings/misc/misc_45/func_800D1228.s 
